centroid_x,centroid_y,major_axis,minor_axis,circularity,area,distance_from_center,filename,time_type,datetime,body_length,movement
644.0,348.0,100.09962463378906,33.92869186401367,0.4913629326891205,2383.5,316.24357700987383,03371.jpg,昼,2024-01-01 18:21:50,67.01415824890137,4.123105625617661
643.0,348.0,99.89969635009766,34.54767990112305,0.5216342425391294,2404.0,316.76016163652906,03372.jpg,昼,2024-01-01 18:22:00,67.22368812561035,1.0
641.0,348.0,102.36555480957033,35.45137405395508,0.4991393444600644,2512.0,317.8002517305485,03373.jpg,昼,2024-01-01 18:22:10,68.9084644317627,2.0
642.0,347.0,101.47550201416016,36.41085815429688,0.5145985569612126,2522.0,318.1336197260516,03374.jpg,昼,2024-01-01 18:22:20,68.94318008422852,1.4142135623730951
644.0,347.0,95.3977279663086,36.73775100708008,0.5200005492811903,2380.0,317.10093030453254,03375.jpg,昼,2024-01-01 18:22:30,66.06773948669434,2.0
642.0,348.0,94.57927703857422,35.54015350341797,0.4874599312928166,2284.0,317.2790569829657,03376.jpg,昼,2024-01-01 18:22:40,65.0597152709961,2.23606797749979
642.0,348.0,97.06478881835938,33.88711929321289,0.5010823570293056,2380.0,317.2790569829657,03377.jpg,昼,2024-01-01 18:22:50,65.47595405578613,0.0
642.0,348.0,103.55846405029295,32.759971618652344,0.51791636364515,2398.5,317.2790569829657,03378.jpg,昼,2024-01-01 18:23:00,68.15921783447266,0.0
644.0,348.0,97.03741455078124,36.70083618164063,0.5255917910262401,2389.0,316.24357700987383,03379.jpg,昼,2024-01-01 18:23:10,66.86912536621094,2.0
643.0,348.0,96.32411193847656,35.59071350097656,0.5221792186423455,2430.0,316.76016163652906,03380.jpg,昼,2024-01-01 18:23:20,65.95741271972656,1.0
642.0,348.0,101.20061492919922,34.51585006713867,0.5304062847739209,2439.5,317.2790569829657,03381.jpg,昼,2024-01-01 18:23:30,67.85823249816895,1.0
642.0,348.0,99.09801483154295,35.663482666015625,0.5240425051681507,2450.5,317.2790569829657,03382.jpg,昼,2024-01-01 18:23:40,67.3807487487793,0.0
642.0,348.0,100.6676788330078,35.2730827331543,0.5172991416182574,2492.5,317.2790569829657,03383.jpg,昼,2024-01-01 18:23:50,67.97038078308105,0.0
643.0,348.0,98.31243133544922,36.0920524597168,0.5229557992357502,2438.5,316.76016163652906,03384.jpg,昼,2024-01-01 18:24:00,67.20224189758301,1.0
643.0,348.0,99.35572814941406,35.63180923461914,0.5208899565526088,2488.0,316.76016163652906,03385.jpg,昼,2024-01-01 18:24:10,67.4937686920166,0.0
642.0,348.0,98.54701232910156,35.63584899902344,0.5206805951308918,2487.0,317.2790569829657,03386.jpg,昼,2024-01-01 18:24:20,67.0914306640625,1.0
642.0,348.0,99.3492202758789,35.44511795043945,0.515070396845119,2498.5,317.2790569829657,03387.jpg,昼,2024-01-01 18:24:30,67.39716911315918,0.0
642.0,348.0,99.9813003540039,36.263458251953125,0.5203820867049965,2490.5,317.2790569829657,03388.jpg,昼,2024-01-01 18:24:40,68.12237930297852,0.0
642.0,348.0,99.91360473632812,35.54917526245117,0.5157842174969784,2504.0,317.2790569829657,03389.jpg,昼,2024-01-01 18:24:50,67.73138999938965,0.0
643.0,348.0,98.9458999633789,36.9557991027832,0.5033774356467534,2481.5,316.76016163652906,03390.jpg,昼,2024-01-01 18:25:00,67.95084953308105,1.0
643.0,348.0,98.50725555419922,36.282508850097656,0.5063458281544445,2405.0,316.76016163652906,03391.jpg,昼,2024-01-01 18:25:10,67.39488220214844,0.0
642.0,348.0,99.2716064453125,35.27101135253906,0.5032735969285937,2464.5,317.2790569829657,03392.jpg,昼,2024-01-01 18:25:20,67.27130889892578,1.0
642.0,348.0,100.71409606933594,35.47154235839844,0.5053330417956954,2496.0,317.2790569829657,03393.jpg,昼,2024-01-01 18:25:30,68.09281921386719,0.0
642.0,348.0,102.55023193359376,34.877723693847656,0.5037685248417932,2502.0,317.2790569829657,03394.jpg,昼,2024-01-01 18:25:40,68.7139778137207,0.0
642.0,348.0,103.76873016357422,34.40142822265625,0.5075941056507529,2521.0,317.2790569829657,03395.jpg,昼,2024-01-01 18:25:50,69.08507919311523,0.0
642.0,348.0,106.6009750366211,35.61702346801758,0.4862695414993392,2530.5,317.2790569829657,03396.jpg,昼,2024-01-01 18:26:00,71.10899925231934,0.0
642.0,348.0,102.08421325683594,35.11764144897461,0.4990965649047034,2523.5,317.2790569829657,03397.jpg,昼,2024-01-01 18:26:10,68.60092735290527,0.0
642.0,348.0,100.90848541259766,35.10212707519531,0.5075615835874517,2542.5,317.2790569829657,03398.jpg,昼,2024-01-01 18:26:20,68.00530624389648,0.0
642.0,348.0,105.25689697265624,36.51216125488281,0.5013177883428865,2544.5,317.2790569829657,03399.jpg,昼,2024-01-01 18:26:30,70.88452911376953,0.0
643.0,348.0,99.41802215576172,35.11253356933594,0.5043789255273945,2558.0,316.76016163652906,03400.jpg,昼,2024-01-01 18:26:40,67.26527786254883,1.0
643.0,348.0,105.53572082519533,35.676841735839844,0.5051799296681554,2583.0,316.76016163652906,03401.jpg,昼,2024-01-01 18:26:50,70.60628128051758,0.0
643.0,348.0,105.2333526611328,35.3912239074707,0.504667131480672,2561.5,316.76016163652906,03402.jpg,昼,2024-01-01 18:27:00,70.31228828430176,0.0
643.0,348.0,102.43335723876952,36.01150131225586,0.4951651393888993,2565.0,316.76016163652906,03403.jpg,昼,2024-01-01 18:27:10,69.2224292755127,0.0
642.0,348.0,104.26903533935548,36.21176910400391,0.502114826494186,2601.0,317.2790569829657,03404.jpg,昼,2024-01-01 18:27:20,70.2404022216797,1.0
643.0,348.0,106.1526870727539,35.19984436035156,0.506459021219677,2594.5,316.76016163652906,03405.jpg,昼,2024-01-01 18:27:30,70.67626571655273,1.0
643.0,348.0,105.23686981201172,35.777957916259766,0.4941442976428898,2600.0,316.76016163652906,03406.jpg,昼,2024-01-01 18:27:40,70.50741386413574,0.0
643.0,348.0,102.87798309326172,34.56255340576172,0.5136273348881724,2491.5,316.76016163652906,03407.jpg,昼,2024-01-01 18:27:50,68.72026824951172,0.0
643.0,348.0,101.62285614013672,34.52149200439453,0.5269086095993294,2416.5,316.76016163652906,03408.jpg,昼,2024-01-01 18:28:00,68.07217407226562,0.0
642.0,348.0,100.14228057861328,33.68510818481445,0.5084007930546532,2496.5,317.2790569829657,03409.jpg,昼,2024-01-01 18:28:10,66.91369438171387,1.0
643.0,348.0,104.19739532470705,34.96455383300781,0.5069510290724569,2532.5,316.76016163652906,03410.jpg,昼,2024-01-01 18:28:20,69.58097457885742,1.0
643.0,348.0,101.62638854980467,35.464813232421875,0.5119534635634297,2564.5,316.76016163652906,03411.jpg,昼,2024-01-01 18:28:30,68.54560089111328,0.0
642.0,348.0,101.06716918945312,35.40147399902344,0.5181640980583959,2568.5,317.2790569829657,03412.jpg,昼,2024-01-01 18:28:40,68.23432159423828,1.0
